Model,L,W,H,P,V,S
AAI Shadow 200,3400,4200,1050,1,2,48.61
AAI Shadow 400,3841,5150,112,1,2,51.39
AAI Shadow 600,4800,6830,1120,1,2,55.56
AeroVironment Global Observer,21000,53000,4000,4,1,33.56
Aero Telemetry XF-11,9970,16500,1300,2,2,50
AFM Servers PTERO-SM,2140,3130,,1,1,47.22
Airbus Zephyr 8,10000,28000,2500,1,1,27.78
Aist,4730,8070,1890,2,2,69.44
Akula A175,4000,4100,500,1,4,41.67
Altair,11600,28500,2600,2,2,152.78
Altec MART,3200,3400,480,1,1,54.17
Antigrad-Avia A-03 NART,5200,9000,,2,0,125
ArcticShark,4300,6600,1200,1,4,63.89
Arcturus T-15,1830,3050,400,1,1,46.39
Arcturus T-16XL,2080,3940,420,1,1,48.61
Arcturus T-20,2800,5200,1000,1,1,45.83
Aurora Flight Sciences Orion,22000,40000,4200,2,1,33.33
Azimut 2,1820,2900,300,1,2,27.78
BAe PHOENIX,3400,4200,860,1,2,51.39
BAE Systems HERTI,5000,12000,1500,1,2,69.44
BAE Systems Mantis,19800,22000,3800,2,1,154.44
Barnard Microsystems InView,4200,5000,700,2,2,41.67
BAI Pusher,3350,4270,900,1,2,34.72
BAT 4,2400,3900,900,1,2,33.33
Berkut-1,1500,2000,400,1,1,45.83
Biodrone,1800,3400,300,1,2,34.72
Blackstar,980,1500,350,1,1,20.83
Boeing Dominator,2100,3700,720,1,1,44.22
Burevestnik,2300,2800,700,1,4,33.33
Burevestnik-MB,2300,2800,650,1,4,69.44
Busel,2400,3000,400,2,3,27.78
Chibis (Belarus),2740,5760,1390,2,1,52.78
Chirok,6500,10000,1800,2,2,83.33
Coyote,790,1200,400,1,2,33.33
CropCam,1220,2440,400,1,1,22.22
Cutlass,820,1400,120,1,1,50
Dan-Baruk,4600,5630,1200,1,1,83.33
Danem (OKB Simonov),2400,3200,900,1,1,66.67
Dozor 2,2600,4400,900,1,2,41.67
Dozor 3,7000,12000,2500,1,1,41.67
Dozor 4,2600,4600,1200,1,2,41.67
Dozor 5,3000,5400,1100,1,2,41.67
Dozor 100,5400,3000,1100,1,3,41.67
Dozor 600,6700,12000,2300,1,5,50
DynaWerks Gale,900,850,360,1,1,33.33
Filin,2700,4500,950,1,2,47.22
Forpost,6000,9100,1220,1,2,55.56
FQM-151 Pointer,1830,2740,910,1,1,27.78
Freewing Scorpion 60-25,2000,3700,840,1,2,51.39
Freewing Scorpion 100-60,3600,4900,1100,1,2,61.67
Gamma,2000,2800,950,1,2,38.89
General Atomics ALTUS,7200,16500,1500,1,3,51.39
Geoscan 701,2000,3300,440,1,2,33.33
GNAT-750,10760,5330,720,1,2,53.61
GNAT-750 (I-GNAT),12860,6320,720,1,2,82.22
Granat-2,1800,2000,300,1,2,23.61
Granat-4,2600,3200,450,1,2,38.89
Grif-1,399,5700,1000,1,2,44.44
Griffon Aerospace MQM-170,3100,3500,1100,1,2,55.56
Griffon Aerospace Outlaw G2,2800,3100,900,1,1,69.44
Griffon Aerospace Outlaw Seahunter,2800,3100,1250,2,2,50
Indela-6M,2690,6010,,1,3,38.89
Indela-9,3340,9100,,1,3,38.89
Insitu ScanEagle,1370,3110,400,1,2,27.78
Insitu ScanEagle Dual Bay,1980,3120,380,1,2,40.28
Inspector 2020,970,1200,360,1,2,27.78
Inspector 401,2800,3400,900,1,3,27.78
Irkut-3,900,2000,300,1,1,25
Irkut-200,4530,5340,1680,1,1,58.33
Irkut-850,8420,23000,1800,1,3,75
Irkut-DA42,8500,13420,2400,2,3,79.72
Istra-10,1400,1600,300,1,2,27.78
Istra-13,2400,2800,380,4,1,41.67
Kayra-1,9400,18000,1900,1,2,69.44
Kayra-2,7000,20350,1760,1,4,83.33
Korsar,4200,6500,1200,1,2,41.67
Kuguar,2400,3200,400,1,3,41.67
Lockheed Martin Desert Hawk,860,1320,240,1,2,33.33
Lockheed Martin Desert Hawk III,700,1200,250,1,1,25.56
Lockheed Martin Stalker,2200,3000,350,1,1,22.22
Lockheed Martin X-56,2300,8400,600,1,2,61.11
Luch (Vega),5850,8700,2400,1,2,69.44
Manta,1900,2100,700,1,2,55.56
Mobius,5640,8140,2290,1,2,38.89
MQ-1 Predator,14840,8230,2210,1,3,60.28
MQ-1C Grey Eagle,17070,8530,2060,1,3,69.44
MQ-9 Reaper,20120,10970,3560,1,3,133.89
NASA Mini-Sniffer,4800,5500,500,1,2,50
Novik-XXI vek GrANT,2500,2350,450,1,1,44.44
Octatron SkySeer,1200,1980,200,1,1,16.67
Oregon Iron Works Sea Scout,3200,4000,820,1,1,50
Orion-B,8000,16300,3200,1,2,55.56
Orlan-3M,1500,2100,400,1,1,41.67
Orlan-10,1800,3100,,1,1,41.67
Orlan-30,2430,3800,,1,1,47.22
Orlan 50,2430,3800,,2,1,50
Phoenix FW120,1830,3660,440,1,1,27.78
Phoenix FW 240,2900,6100,900,1,1,33.33
Perdix,155,300,60,1,2,30.56
PP-40 Elf,800,1300,,2,2,30.56
PP-45,3500,5400,560,2,2,41.67
PP-50 Vzor,1300,2000,,1,0,18
Ptero-G0,1200,1300,300,1,1,34.72
Ptero-G1,2140,3120,400,1,2,47.22
Qinetiq Zephyr,8500,22500,1500,2,3,13.89
Quaternion Qt-1,2800,2930,520,1,1,33.33
Quaternion Qt-2,2400,3200,500,1,2,38.89
R4E-50 Sky Eye,4080,6100,1220,1,2,38.89
Rubezh-20,3200,3500,460,1,2,30.56
Rubezh-60,4200,5500,1200,1,2,33.33
Raytheon Cobra,2840,3090,930,1,1,30.56
RQ-7 Shadow,3400,3890,910,1,2,63.06
SIERRA,3610,6100,1400,1,2,41.11
Skylynx II,4230,5600,1000,1,2,55.56
Sky Warrior,9000,17000,3600,1,2,76.94
Sonex Aircraft Teros,8200,10000,2100,1,2,51.39
Sterkh-BM (Belarus),3000,3800,,1,4,55.56
Sulsa,1000,1400,300,1,2,25
Super Bat,1600,2600,600,1,2,27.78
TechOne Souka EPP profile - 900,960,900,,1,1,12.5
Teledyne Ryan 410,11200,9450,1800,1,2,50
Tiger Shark,4120,5330,1220,1,2,33.33
Tiguar S-410,2320,4100,,1,4,40
Tipchak (Luch),2400,3400,,1,1,52.78
TowHawk,680,860,200,1,2,18.06
UASUSA Recon,1800,2300,400,1,1,27.78
UASUSA Tempest,2560,3050,520,1,1,23.61
Vector P,2300,2500,600,1,2,44.44
Viking 100,2440,3660,850,1,2,33.33
Viking 300,4120,5340,850,1,2,34.72
Viking 400,4480,6100,1500,1,2,44.44
UTS GSAT-200 NG,1800,2210,430,1,1,50
Vigilant,2500,3200,450,1,1,25
Viettel VT-Patrol,2800,3300,520,1,2,41.67
Warrior Gull,2000,2400,800,1,1,33.33
Zala 421-09,250,3900,,1,2,36.11
